video_label,video_id,nationality,condition,composition,rating,new_label
U_music_s_m_s_VI_preference,39,Ukraine,music,male,preference,v_39_Ukraine_music_male_preference
U_music_s_m_s_V_preference,40,Ukraine,music,male,preference,v_40_Ukraine_music_male_preference
L_cooking_f_s_IV_preference,41,Levantine,cooking,female,preference,v_41_Levantine_cooking_female_preference
L_cooking_f_s_I_preference,42,Levantine,cooking,female,preference,v_42_Levantine_cooking_female_preference
L_cooking_f_s_II_preference,43,Levantine,cooking,female,preference,v_43_Levantine_cooking_female_preference
L_cooking_f_s_III_preference,44,Levantine,cooking,female,preference,v_44_Levantine_cooking_female_preference
L_cooking_gr_ac_II_preference,45,Levantine,cooking,group,preference,v_45_Levantine_cooking_group_preference
L_cooking_gr_ac_III_preference,46,Levantine,cooking,group,preference,v_46_Levantine_cooking_group_preference
L_cooking_gr_ac_V_preference,47,Levantine,cooking,group,preference,v_47_Levantine_cooking_group_preference
L_cooking_m_s_I_preference,48,Levantine,cooking,male,preference,v_48_Levantine_cooking_male_preference
L_cooking_m_s_II_preference,49,Levantine,cooking,male,preference,v_49_Levantine_cooking_male_preference
L_cooking_m_s_III_preference,50,Levantine,cooking,male,preference,v_50_Levantine_cooking_male_preference
L_cooking_m_s_IV_preference,51,Levantine,cooking,male,preference,v_51_Levantine_cooking_male_preference
L_cooking_m_s_VI_preference,52,Levantine,cooking,male,preference,v_52_Levantine_cooking_male_preference
L_cooking_m_s_VII_preference,53,Levantine,cooking,male,preference,v_53_Levantine_cooking_male_preference
L_music_s&in_f_s_I_preference,54,Levantine,music,female,preference,v_54_Levantine_music_female_preference
L_music_s&in_f_s_V_preference,55,Levantine,music,female,preference,v_55_Levantine_music_female_preference
L_music_s&in_f_s_VI_preference,56,Levantine,music,female,preference,v_56_Levantine_music_female_preference
L_music_s&in_f_s_VII_preference,57,Levantine,music,female,preference,v_57_Levantine_music_female_preference
L_music_s&in_gr_ac_I_preference,58,Levantine,music,group,preference,v_58_Levantine_music_group_preference
L_music_s&in_gr_ac_V_preference,59,Levantine,music,group,preference,v_59_Levantine_music_group_preference
L_music_s&in_gr_ac_VI_preference,60,Levantine,music,group,preference,v_60_Levantine_music_group_preference
L_music_s&in_gr_ac_VII_preference,61,Levantine,music,group,preference,v_61_Levantine_music_group_preference
L_music_s&in_gr_ac_VIII_preference,62,Levantine,music,group,preference,v_62_Levantine_music_group_preference
L_music_s&in_m_s_II_preference,63,Levantine,music,male,preference,v_63_Levantine_music_male_preference
L_music_s&in_m_s_V_preference,64,Levantine,music,male,preference,v_64_Levantine_music_male_preference
L_music_s_f_s_II_preference,65,Levantine,music,female,preference,v_65_Levantine_music_female_preference
L_music_s_f_s_IV_preference,66,Levantine,music,female,preference,v_66_Levantine_music_female_preference
L_music_s_f_s_VI_preference,67,Levantine,music,female,preference,v_67_Levantine_music_female_preference
L_music_s_f_s_VII_preference,68,Levantine,music,female,preference,v_68_Levantine_music_female_preference
L_music_s_f_s_VIII_preference,69,Levantine,music,female,preference,v_69_Levantine_music_female_preference
L_music_s_gr_ac_I_preference,70,Levantine,music,group,preference,v_70_Levantine_music_group_preference
L_music_s_gr_ac_II_preference,71,Levantine,music,group,preference,v_71_Levantine_music_group_preference
L_music_s_m_s_I_preference,72,Levantine,music,male,preference,v_72_Levantine_music_male_preference
L_music_s_m_s_II_73_preference,73,Levantine,music,male,preference,v_73_Levantine_music_male_preference
L_music_s_m_s_III_74_preference,74,Levantine,music,male,preference,v_74_Levantine_music_male_preference
L_music_s_m_s_IV_preference,75,Levantine,music,male,preference,v_75_Levantine_music_male_preference
L_music_s_m_s_V_preference,76,Levantine,music,male,preference,v_76_Levantine_music_male_preference
L_music_s_f_s_I_preference,77,Levantine,music,female,preference,v_77_Levantine_music_female_preference
L_music_s_in_m_s_IV_preference,78,Levantine,music,male,preference,v_78_Levantine_music_male_preference
L_music_s_m_s_II_79_preference,79,Levantine,music,male,preference,v_79_Levantine_music_male_preference
L_music_s_m_s_III_80_preference,80,Levantine,music,male,preference,v_80_Levantine_music_male_preference
U_cooking_f_s_IV_valence,1,Ukraine,cooking,female,valence,v_1_Ukraine_cooking_female_valence
U_cooking_m_s_II_valence,2,Ukraine,cooking,male,valence,v_2_Ukraine_cooking_male_valence
U_cooking_f_s_III_valence,3,Ukraine,cooking,female,valence,v_3_Ukraine_cooking_female_valence
U_cooking_f_s_II_valence,4,Ukraine,cooking,female,valence,v_4_Ukraine_cooking_female_valence
U_cooking_f_s_I_valence,5,Ukraine,cooking,female,valence,v_5_Ukraine_cooking_female_valence
U_cooking_f_s_VIII_valence,6,Ukraine,cooking,female,valence,v_6_Ukraine_cooking_female_valence
U_cooking_f_s_VII_valence,7,Ukraine,cooking,female,valence,v_7_Ukraine_cooking_female_valence
U_cooking_f_s_VI_valence,8,Ukraine,cooking,female,valence,v_8_Ukraine_cooking_female_valence
U_cooking_f_s_V_valence,9,Ukraine,cooking,female,valence,v_9_Ukraine_cooking_female_valence
U_cooking_gr_ac_II_valence,10,Ukraine,cooking,group,valence,v_10_Ukraine_cooking_group_valence
U_cooking_gr_ac_I_valence,11,Ukraine,cooking,group,valence,v_11_Ukraine_cooking_group_valence
U_cooking_gr_ac_VI_valence,12,Ukraine,cooking,group,valence,v_12_Ukraine_cooking_group_valence
U_cooking_gr_ac_V_valence,13,Ukraine,cooking,group,valence,v_13_Ukraine_cooking_group_valence
U_cooking_m_s_I_valence,14,Ukraine,cooking,male,valence,v_14_Ukraine_cooking_male_valence
U_cooking_m_s_VIII_valence,15,Ukraine,cooking,male,valence,v_15_Ukraine_cooking_male_valence
U_cooking_m_s_VI_valence,16,Ukraine,cooking,male,valence,v_16_Ukraine_cooking_male_valence
U_m_F_S_In_II_valence,17,Ukraine,music,female,valence,v_17_Ukraine_music_female_valence
U_m_F_S_In_IV_valence,18,Ukraine,music,female,valence,v_18_Ukraine_music_female_valence
U_m_Gr_In_II_valence,19,Ukraine,music,group,valence,v_19_Ukraine_music_group_valence
U_m_Gr_In_VII_valence,20,Ukraine,music,group,valence,v_20_Ukraine_music_group_valence
U_m_m_s_in_VII_valence,21,Ukraine,music,male,valence,v_21_Ukraine_music_male_valence
U_m_m_s_in_V_valence,22,Ukraine,music,male,valence,v_22_Ukraine_music_male_valence
U_m_s_f_s_I_valence,23,Ukraine,music,female,valence,v_23_Ukraine_music_female_valence
U_m_s_f_s_VIII_valence,24,Ukraine,music,female,valence,v_24_Ukraine_music_female_valence
U_m_s_f_s_V_valence,25,Ukraine,music,female,valence,v_25_Ukraine_music_female_valence
U_m_s_gr_ac_III_valence,26,Ukraine,music,group,valence,v_26_Ukraine_music_group_valence
U_m_s_gr_ac_I_valence,27,Ukraine,music,group,valence,v_27_Ukraine_music_group_valence
U_m_s_gr_ac_VIII_valence,28,Ukraine,music,group,valence,v_28_Ukraine_music_group_valence
U_m_s_gr_ac_VI_valence,29,Ukraine,music,group,valence,v_29_Ukraine_music_group_valence
U_m_s_gr_ac_V_valence,30,Ukraine,music,group,valence,v_30_Ukraine_music_group_valence
U_m_s_in_f_s_III_valence,31,Ukraine,music,female,valence,v_31_Ukraine_music_female_valence
U_m_s_in_f_s_IV_valence,32,Ukraine,music,female,valence,v_32_Ukraine_music_female_valence
U_m_s_in_f_s_V_valence,33,Ukraine,music,female,valence,v_33_Ukraine_music_female_valence
U_m_s_in_gr_ac_II_valence,34,Ukraine,music,group,valence,v_34_Ukraine_music_group_valence
U_m_s_in_gr_ac_IV_valence,35,Ukraine,music,group,valence,v_35_Ukraine_music_group_valence
U_m_s_in_gr_ac_I_valence,36,Ukraine,music,group,valence,v_36_Ukraine_music_group_valence
U_m_s_in_m_s_II_valence,37,Ukraine,music,male,valence,v_37_Ukraine_music_male_valence
U_m_s_m_s_I_valence,38,Ukraine,music,male,valence,v_38_Ukraine_music_male_valence
U_music_s_m_s_VI_valence,39,Ukraine,music,male,valence,v_39_Ukraine_music_male_valence
U_music_s_m_s_V_valence,40,Ukraine,music,male,valence,v_40_Ukraine_music_male_valence
L_cooking_f_s_IV_valence,41,Levantine,cooking,female,valence,v_41_Levantine_cooking_female_valence
L_cooking_f_s_I_valence,42,Levantine,cooking,female,valence,v_42_Levantine_cooking_female_valence
L_cooking_f_s_II_valence,43,Levantine,cooking,female,valence,v_43_Levantine_cooking_female_valence
L_cooking_f_s_III_valence,44,Levantine,cooking,female,valence,v_44_Levantine_cooking_female_valence
L_cooking_gr_ac_II_valence,45,Levantine,cooking,group,valence,v_45_Levantine_cooking_group_valence
L_cooking_gr_ac_III_valence,46,Levantine,cooking,group,valence,v_46_Levantine_cooking_group_valence
L_cooking_gr_ac_V_valence,47,Levantine,cooking,group,valence,v_47_Levantine_cooking_group_valence
L_cooking_m_s_I_valence,48,Levantine,cooking,male,valence,v_48_Levantine_cooking_male_valence
L_cooking_m_s_II_valence,49,Levantine,cooking,male,valence,v_49_Levantine_cooking_male_valence
L_cooking_m_s_III_valence,50,Levantine,cooking,male,valence,v_50_Levantine_cooking_male_valence
L_cooking_m_s_IV_valence,51,Levantine,cooking,male,valence,v_51_Levantine_cooking_male_valence
L_cooking_m_s_VI_valence,52,Levantine,cooking,male,valence,v_52_Levantine_cooking_male_valence
L_cooking_m_s_VII_valence,53,Levantine,cooking,male,valence,v_53_Levantine_cooking_male_valence
L_music_s&in_f_s_I_valence,54,Levantine,music,female,valence,v_54_Levantine_music_female_valence
L_music_s&in_f_s_V_valence,55,Levantine,music,female,valence,v_55_Levantine_music_female_valence
L_music_s&in_f_s_VI_valence,56,Levantine,music,female,valence,v_56_Levantine_music_female_valence
L_music_s&in_f_s_VII_valence,57,Levantine,music,female,valence,v_57_Levantine_music_female_valence
L_music_s&in_gr_ac_I_valence,58,Levantine,music,group,valence,v_58_Levantine_music_group_valence
L_music_s&in_gr_ac_V_valence,59,Levantine,music,group,valence,v_59_Levantine_music_group_valence
L_music_s&in_gr_ac_VI_valence,60,Levantine,music,group,valence,v_60_Levantine_music_group_valence
L_music_s&in_gr_ac_VII_valence,61,Levantine,music,group,valence,v_61_Levantine_music_group_valence
L_music_s&in_gr_ac_VIII_valence,62,Levantine,music,group,valence,v_62_Levantine_music_group_valence
L_music_s&in_m_s_II_valence,63,Levantine,music,male,valence,v_63_Levantine_music_male_valence
L_music_s&in_m_s_V_valence,64,Levantine,music,male,valence,v_64_Levantine_music_male_valence
L_music_s_f_s_II_valence,65,Levantine,music,female,valence,v_65_Levantine_music_female_valence
L_music_s_f_s_IV_valence,66,Levantine,music,female,valence,v_66_Levantine_music_female_valence
L_music_s_f_s_VI_valence,67,Levantine,music,female,valence,v_67_Levantine_music_female_valence
L_music_s_f_s_VII_valence,68,Levantine,music,female,valence,v_68_Levantine_music_female_valence
L_music_s_f_s_VIII_valence,69,Levantine,music,female,valence,v_69_Levantine_music_female_valence
L_music_s_gr_ac_I_valence,70,Levantine,music,group,valence,v_70_Levantine_music_group_valence
L_music_s_gr_ac_II_valence,71,Levantine,music,group,valence,v_71_Levantine_music_group_valence
L_music_s_m_s_I_valence,72,Levantine,music,male,valence,v_72_Levantine_music_male_valence
L_music_s_m_s_II_73_valence,73,Levantine,music,male,valence,v_73_Levantine_music_male_valence
L_music_s_m_s_III_74_valence,74,Levantine,music,male,valence,v_74_Levantine_music_male_valence
L_music_s_m_s_IV_valence,75,Levantine,music,male,valence,v_75_Levantine_music_male_valence
L_music_s_m_s_V_valence,76,Levantine,music,male,valence,v_76_Levantine_music_male_valence
L_music_s_f_s_I_valence,77,Levantine,music,female,valence,v_77_Levantine_music_female_valence
L_music_s_in_m_s_IV_valence,78,Levantine,music,male,valence,v_78_Levantine_music_male_valence
L_music_s_m_s_II_79_valence,79,Levantine,music,male,valence,v_79_Levantine_music_male_valence
L_music_s_m_s_III_80_valence,80,Levantine,music,male,valence,v_80_Levantine_music_male_valence
U_cooking_f_s_IV_familiar,1,Ukraine,cooking,female,familiar,v_1_Ukraine_cooking_female_familiar
U_cooking_m_s_II_familiar,2,Ukraine,cooking,male,familiar,v_2_Ukraine_cooking_male_familiar
U_cooking_f_s_III_familiar,3,Ukraine,cooking,female,familiar,v_3_Ukraine_cooking_female_familiar
U_cooking_f_s_II_familiar,4,Ukraine,cooking,female,familiar,v_4_Ukraine_cooking_female_familiar
U_cooking_f_s_I_familiar,5,Ukraine,cooking,female,familiar,v_5_Ukraine_cooking_female_familiar
U_cooking_f_s_VIII_familiar,6,Ukraine,cooking,female,familiar,v_6_Ukraine_cooking_female_familiar
U_cooking_f_s_VII_familiar,7,Ukraine,cooking,female,familiar,v_7_Ukraine_cooking_female_familiar
U_cooking_f_s_VI_familiar,8,Ukraine,cooking,female,familiar,v_8_Ukraine_cooking_female_familiar
U_cooking_f_s_V_familiar,9,Ukraine,cooking,female,familiar,v_9_Ukraine_cooking_female_familiar
U_cooking_gr_ac_II_familiar,10,Ukraine,cooking,group,familiar,v_10_Ukraine_cooking_group_familiar
U_cooking_gr_ac_I_familiar,11,Ukraine,cooking,group,familiar,v_11_Ukraine_cooking_group_familiar
U_cooking_gr_ac_VI_familiar,12,Ukraine,cooking,group,familiar,v_12_Ukraine_cooking_group_familiar
U_cooking_gr_ac_V_familiar,13,Ukraine,cooking,group,familiar,v_13_Ukraine_cooking_group_familiar
U_cooking_m_s_I_familiar,14,Ukraine,cooking,male,familiar,v_14_Ukraine_cooking_male_familiar
U_cooking_m_s_VIII_familiar,15,Ukraine,cooking,male,familiar,v_15_Ukraine_cooking_male_familiar
U_cooking_m_s_VI_familiar,16,Ukraine,cooking,male,familiar,v_16_Ukraine_cooking_male_familiar
U_m_F_S_In_II_familiar,17,Ukraine,music,female,familiar,v_17_Ukraine_music_female_familiar
U_m_F_S_In_IV_familiar,18,Ukraine,music,female,familiar,v_18_Ukraine_music_female_familiar
U_m_Gr_In_II_familiar,19,Ukraine,music,group,familiar,v_19_Ukraine_music_group_familiar
U_m_Gr_In_VII_familiar,20,Ukraine,music,group,familiar,v_20_Ukraine_music_group_familiar
U_m_m_s_in_VII_familiar,21,Ukraine,music,male,familiar,v_21_Ukraine_music_male_familiar
U_m_m_s_in_V_familiar,22,Ukraine,music,male,familiar,v_22_Ukraine_music_male_familiar
U_m_s_f_s_I_familiar,23,Ukraine,music,female,familiar,v_23_Ukraine_music_female_familiar
U_m_s_f_s_VIII_familiar,24,Ukraine,music,female,familiar,v_24_Ukraine_music_female_familiar
U_m_s_f_s_V_familiar,25,Ukraine,music,female,familiar,v_25_Ukraine_music_female_familiar
U_m_s_gr_ac_III_familiar,26,Ukraine,music,group,familiar,v_26_Ukraine_music_group_familiar
U_m_s_gr_ac_I_familiar,27,Ukraine,music,group,familiar,v_27_Ukraine_music_group_familiar
U_m_s_gr_ac_VIII_familiar,28,Ukraine,music,group,familiar,v_28_Ukraine_music_group_familiar
U_m_s_gr_ac_VI_familiar,29,Ukraine,music,group,familiar,v_29_Ukraine_music_group_familiar
U_m_s_gr_ac_V_familiar,30,Ukraine,music,group,familiar,v_30_Ukraine_music_group_familiar
U_m_s_in_f_s_III_familiar,31,Ukraine,music,female,familiar,v_31_Ukraine_music_female_familiar
U_m_s_in_f_s_IV_familiar,32,Ukraine,music,female,familiar,v_32_Ukraine_music_female_familiar
U_m_s_in_f_s_V_familiar,33,Ukraine,music,female,familiar,v_33_Ukraine_music_female_familiar
U_m_s_in_gr_ac_II_familiar,34,Ukraine,music,group,familiar,v_34_Ukraine_music_group_familiar
U_m_s_in_gr_ac_IV_familiar,35,Ukraine,music,group,familiar,v_35_Ukraine_music_group_familiar
U_m_s_in_gr_ac_I_familiar,36,Ukraine,music,group,familiar,v_36_Ukraine_music_group_familiar
U_m_s_in_m_s_II_familiar,37,Ukraine,music,male,familiar,v_37_Ukraine_music_male_familiar
U_m_s_m_s_I_familiar,38,Ukraine,music,male,familiar,v_38_Ukraine_music_male_familiar
U_music_s_m_s_VI_familiar,39,Ukraine,music,male,familiar,v_39_Ukraine_music_male_familiar
U_music_s_m_s_V_familiar,40,Ukraine,music,male,familiar,v_40_Ukraine_music_male_familiar
L_cooking_f_s_IV_familiar,41,Levantine,cooking,female,familiar,v_41_Levantine_cooking_female_familiar
L_cooking_f_s_I_familiar,42,Levantine,cooking,female,familiar,v_42_Levantine_cooking_female_familiar
L_cooking_f_s_II_familiar,43,Levantine,cooking,female,familiar,v_43_Levantine_cooking_female_familiar
L_cooking_f_s_III_familiar,44,Levantine,cooking,female,familiar,v_44_Levantine_cooking_female_familiar
L_cooking_gr_ac_II_familiar,45,Levantine,cooking,group,familiar,v_45_Levantine_cooking_group_familiar
L_cooking_gr_ac_III_familiar,46,Levantine,cooking,group,familiar,v_46_Levantine_cooking_group_familiar
L_cooking_gr_ac_V_familiar,47,Levantine,cooking,group,familiar,v_47_Levantine_cooking_group_familiar
L_cooking_m_s_I_familiar,48,Levantine,cooking,male,familiar,v_48_Levantine_cooking_male_familiar
L_cooking_m_s_II_familiar,49,Levantine,cooking,male,familiar,v_49_Levantine_cooking_male_familiar
L_cooking_m_s_III_familiar,50,Levantine,cooking,male,familiar,v_50_Levantine_cooking_male_familiar
L_cooking_m_s_IV_familiar,51,Levantine,cooking,male,familiar,v_51_Levantine_cooking_male_familiar
L_cooking_m_s_VI_familiar,52,Levantine,cooking,male,familiar,v_52_Levantine_cooking_male_familiar
L_cooking_m_s_VII_familiar,53,Levantine,cooking,male,familiar,v_53_Levantine_cooking_male_familiar
L_music_s&in_f_s_I_familiar,54,Levantine,music,female,familiar,v_54_Levantine_music_female_familiar
L_music_s&in_f_s_V_familiar,55,Levantine,music,female,familiar,v_55_Levantine_music_female_familiar
L_music_s&in_f_s_VI_familiar,56,Levantine,music,female,familiar,v_56_Levantine_music_female_familiar
L_music_s&in_f_s_VII_familiar,57,Levantine,music,female,familiar,v_57_Levantine_music_female_familiar
L_music_s&in_gr_ac_I_familiar,58,Levantine,music,group,familiar,v_58_Levantine_music_group_familiar
L_music_s&in_gr_ac_V_familiar,59,Levantine,music,group,familiar,v_59_Levantine_music_group_familiar
L_music_s&in_gr_ac_VI_familiar,60,Levantine,music,group,familiar,v_60_Levantine_music_group_familiar
L_music_s&in_gr_ac_VII_familiar,61,Levantine,music,group,familiar,v_61_Levantine_music_group_familiar
L_music_s&in_gr_ac_VIII_familiar,62,Levantine,music,group,familiar,v_62_Levantine_music_group_familiar
L_music_s&in_m_s_II_familiar,63,Levantine,music,male,familiar,v_63_Levantine_music_male_familiar
L_music_s&in_m_s_V_familiar,64,Levantine,music,male,familiar,v_64_Levantine_music_male_familiar
L_music_s_f_s_II_familiar,65,Levantine,music,female,familiar,v_65_Levantine_music_female_familiar
L_music_s_f_s_IV_familiar,66,Levantine,music,female,familiar,v_66_Levantine_music_female_familiar
L_music_s_f_s_VI_familiar,67,Levantine,music,female,familiar,v_67_Levantine_music_female_familiar
L_music_s_f_s_VII_familiar,68,Levantine,music,female,familiar,v_68_Levantine_music_female_familiar
L_music_s_f_s_VIII_familiar,69,Levantine,music,female,familiar,v_69_Levantine_music_female_familiar
L_music_s_gr_ac_I_familiar,70,Levantine,music,group,familiar,v_70_Levantine_music_group_familiar
L_music_s_gr_ac_II_familiar,71,Levantine,music,group,familiar,v_71_Levantine_music_group_familiar
L_music_s_m_s_I_familiar,72,Levantine,music,male,familiar,v_72_Levantine_music_male_familiar
L_music_s_m_s_II_73_familiar,73,Levantine,music,male,familiar,v_73_Levantine_music_male_familiar
L_music_s_m_s_III_74_familiar,74,Levantine,music,male,familiar,v_74_Levantine_music_male_familiar
L_music_s_m_s_IV_familiar,75,Levantine,music,male,familiar,v_75_Levantine_music_male_familiar
L_music_s_m_s_V_familiar,76,Levantine,music,male,familiar,v_76_Levantine_music_male_familiar
L_music_s_f_s_I_familiar,77,Levantine,music,female,familiar,v_77_Levantine_music_female_familiar
L_music_s_in_m_s_IV_familiar,78,Levantine,music,male,familiar,v_78_Levantine_music_male_familiar
L_music_s_m_s_II_79_familiar,79,Levantine,music,male,familiar,v_79_Levantine_music_male_familiar
L_music_s_m_s_III_80_familiar,80,Levantine,music,male,familiar,v_80_Levantine_music_male_familiar
